user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,pre_tests_res_id,pre_tests_res_test_id,pre_tests_res_answer,pre_tests_res_time,pre_tests_res_count,pre_tests_res_status,pre_tests_res_date,tests_question_id,tests_question_right_answers,region_name,answers_checked,topic
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3027,2920,1,441,1,1,2019-06-07 07:45:27,2920,"1,7",Armavir,0,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3028,2921,3,441,1,1,2019-06-07 07:45:27,2921,"3,7",Armavir,0,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3029,2922,1,441,1,1,2019-06-07 07:45:27,2922,1,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3030,2923,1,441,1,1,2019-06-07 07:45:27,2923,1,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3031,2924,1,441,1,1,2019-06-07 07:45:27,2924,2,Armavir,0,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3032,2925,2,441,1,1,2019-06-07 07:45:27,2925,1,Armavir,0,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3033,2926,2,441,1,1,2019-06-07 07:45:27,2926,2,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3034,2927,2,441,1,1,2019-06-07 07:45:27,2927,2,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3035,2928,2,441,1,1,2019-06-07 07:45:27,2928,1,Armavir,0,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3036,2929,1,441,1,1,2019-06-07 07:45:27,2929,1,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3037,2930,1,441,1,1,2019-06-07 07:45:27,2930,1,Armavir,1,HIV/AIDs
59,11,1,11,10,239,508,11,2019-06-07 07:36:53,2019-06-07 07:36:53,3038,2931,1,441,1,1,2019-06-07 07:45:27,2931,1,Armavir,1,HIV/AIDs
