user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,help_answers_id,help_answers_user_id,help_answers_grade,help_answers_test_id,help_answers_answer,help_answers_comment,help_test_id,region_name
59,11,1,11,10,239,508,11,6/7/2019 7:36,6/7/2019 7:36,294,59,11,18,,Ամենա կարևոր գիտելիքները առողջության վերաբերյալ նրանք էին որ պետք է զգոն լինել սեռական հարաբերությունների ժամանակ;դաժվածքներ չանել;ունենալ ընդամենը մեկ զուգընկեր։,18,Armavir
59,11,1,11,10,239,508,11,6/7/2019 7:36,6/7/2019 7:36,295,59,11,19,,Ըստ ինձ դպրոցներում պետք է ավելացնել առողջ ապրելակերպի դասաժամերը։,19,Armavir
59,11,1,11,10,239,508,11,6/7/2019 7:36,6/7/2019 7:36,297,59,11,21,,Չունեմ;շնորհակալ եմ նմանատիպ հետաքրքիր և ինչու չէ նաև ուսուցողական հարցաշարերի համար։,21,Armavir
171,11,1,7,33,662,1202,11,6/13/2019 14:33,6/13/2019 14:33,660,171,11,18,,"հիգիենայի  պահպանումը  և  զերծ  մնալ  վարակակիր  հիվանդության  աղբյուրներից
",18,Syuniq
171,11,1,7,33,662,1202,11,6/13/2019 14:33,6/13/2019 14:33,661,171,11,19,,"այս  դասընթացը կարելի  է բարելավել   ավելի  խորացված  գիտելիքներով  որից ավելի  շատ  տեխեկացված  կլինեք
",19,Syuniq
171,11,1,7,33,662,1202,11,6/13/2019 14:33,6/13/2019 14:33,663,171,11,21,,"խորհուրդ  կտայի  այսպիսի  դասընթացները  կրկնվեն  
",21,Syuniq
178,11,0,7,33,659,1199,8,6/13/2019 14:38,6/22/2019 14:25,820,178,11,18,,"սեռավարակների, պահպանակի մասին նյութերը",18,Syuniq
178,11,0,7,33,659,1199,8,6/13/2019 14:38,6/22/2019 14:25,821,178,11,19,,"ավելացնել տեղեյությունները սեռական հարաբերությունների մասին/ պահպանակ, բեղմնականխիչ հաբեր, սեռական հսրաբերությունների օգտակար քանակ",19,Syuniq
178,11,0,7,33,659,1199,8,6/13/2019 14:38,6/22/2019 14:25,823,178,11,21,,"Կայքը հասանելի դարձնել ոչ-միայն աշակերտների , նաև այլ անձանց համար",21,Syuniq
140,11,0,11,11,254,539,9,6/12/2019 10:41,6/20/2019 14:39,1034,140,10,18,,ՄԻԱՎ_ի վերաբերյալ դասընթացները,18,Armavir
140,11,0,11,11,254,539,9,6/12/2019 10:41,6/20/2019 14:39,1035,140,10,19,,Չգիտեմ,19,Armavir
140,11,0,11,11,254,539,9,6/12/2019 10:41,6/20/2019 14:39,1037,140,10,21,,Միմ լարծիքով չկան,21,Armavir
141,11,0,11,11,254,539,10,6/12/2019 14:13,6/21/2019 7:55,1055,141,11,18,,"Այս դասընթացի ժամանակ մենք շատ նորանոր բաներ իմացանք,օրինակ պահպանակի օգտագորցմանմ ժամանակ ինչպես ես պաշտպանվում ՄԻԱՎ- ով վարակվելու վտանգից",18,Armavir
141,11,0,11,11,254,539,10,6/12/2019 14:13,6/21/2019 7:55,1056,141,11,19,,Կարելի է բարելավել այս դասընթացը հաճախակի նյութեր տեղադրելով  և նորանոր թեմաներով,19,Armavir
141,11,0,11,11,254,539,10,6/12/2019 14:13,6/21/2019 7:55,1058,141,11,21,,Իմ առաջարկն այն է որ պետք է  բոլոր երեխաները  այս կայքի միջոցով ստուգեն իրենց գիտելիքները Առողջ ապրելակերպի վերաբերյալ,21,Armavir
367,11,0,4,26,520,1000,10,6/20/2019 11:32,6/29/2019 18:53,1097,367,11,18,,Սեռավարակներից պաշտպանությանը վերաբերյալ դասի տված գիտելիքները ,18,Shirak
367,11,0,4,26,520,1000,10,6/20/2019 11:32,6/29/2019 18:53,1098,367,11,19,,Բավարար է,19,Shirak
411,11,0,4,28,280,1070,8,6/21/2019 19:27,6/21/2019 20:03,1271,411,11,18,,Վարակներից խուսափելը ,18,Shirak
411,11,0,4,28,280,1070,8,6/21/2019 19:27,6/21/2019 20:03,1272,411,11,19,,Ավելացնել այլ թեմաներ ,19,Shirak
411,11,0,4,28,280,1070,8,6/21/2019 19:27,6/21/2019 20:03,1274,411,11,21,,Ավելացրեք նաև ՁԻԱՀԻ վերաբերյալ հարցեր,21,Shirak
389,11,0,4,26,520,1015,8,6/20/2019 14:26,6/24/2019 14:50,1352,389,11,18,,վֆ ֆդվվ,18,Shirak
389,11,0,4,26,520,1015,8,6/20/2019 14:26,6/24/2019 14:50,1353,389,11,19,,վ  դֆ,19,Shirak
389,11,0,4,26,520,1015,8,6/20/2019 14:26,6/24/2019 14:50,1355,389,11,21,,վվֆդֆդվվդֆ,21,Shirak
386,11,0,4,26,520,1003,11,6/20/2019 14:23,6/25/2019 15:32,1373,386,9,19,,Դպրոցում խորացված ու հետևողական դասավանդմամբ զուգահեռ:,19,Shirak
386,11,0,4,26,520,1003,11,6/20/2019 14:23,6/25/2019 15:32,1602,386,11,18,,ամեն ինչից մի քիչ,18,Shirak
426,11,0,7,34,673,1223,11,6/25/2019 9:52,6/25/2019 9:52,1430,426,11,18,,Ամբողջը,18,Syuniq
426,11,0,7,34,673,1223,11,6/25/2019 9:52,6/25/2019 9:52,1431,426,11,19,,Ամբողջը օգտակար էր,19,Syuniq
426,11,0,7,34,673,1223,11,6/25/2019 9:52,6/25/2019 9:52,1433,426,11,21,,Չկան,21,Syuniq
425,11,0,7,34,673,1223,10,6/25/2019 9:50,6/26/2019 19:41,1451,425,11,18,,Բոլորը,18,Syuniq
425,11,0,7,34,673,1223,10,6/25/2019 9:50,6/26/2019 19:41,1452,425,11,19,,Բոլորն օգտակար էին,19,Syuniq
425,11,0,7,34,673,1223,10,6/25/2019 9:50,6/26/2019 19:41,1454,425,11,21,,Չկան,21,Syuniq
424,11,0,7,34,673,1223,11,6/25/2019 9:47,6/25/2019 9:47,1490,424,11,21,,Չունեմ,21,Syuniq
421,11,0,7,34,673,1223,11,6/24/2019 20:55,6/24/2019 21:13,1565,421,11,19,,Կարելի է,19,Syuniq
437,11,0,7,34,673,1223,11,6/25/2019 19:20,6/25/2019 19:20,1621,437,11,18,,ՄԻԱՎ-ի մասին տեղեկությունները,18,Syuniq
450,11,0,7,34,673,1223,11,6/26/2019 18:13,6/26/2019 22:14,1772,450,11,18,,Ամենակարևորը հիվանդություններին իրազեկ լինելն է,18,Syuniq
450,11,0,7,34,673,1223,11,6/26/2019 18:13,6/26/2019 22:14,1773,450,11,19,,Ըստ իս ամեն բան շատ լավ էր,19,Syuniq
455,11,1,7,34,673,1223,8,6/27/2019 9:59,6/27/2019 13:55,1890,455,10,18,,"Իմացա, որ պետք է հեռու մնալ ծխախոտից և խմիչքներից:",18,Syuniq
455,11,1,7,34,673,1223,8,6/27/2019 9:59,6/27/2019 13:55,1891,455,10,19,,"Այո, կարելի է:",19,Syuniq
455,11,1,7,34,673,1223,8,6/27/2019 9:59,6/27/2019 13:55,1893,455,10,21,,Խորհուրդ կտամ ավելի շատ օրինակներ բերել:,21,Syuniq
