user_id,user_grade,user_sex,user_region,user_city,user_community,user_school,user_current_grade,user_created_at,user_updated_at,pre_tests_res_id,pre_tests_res_test_id,pre_tests_res_answer,pre_tests_res_time,pre_tests_res_count,pre_tests_res_status,pre_tests_res_date,tests_question_id,tests_question_right_answers,region_name,answers_checked,topic
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4174,2964,10,270,1,1,2019-06-10 18:56:43,2964,"5,6,7,8,9,10",Armavir,10,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4175,2965,1,270,1,1,2019-06-10 18:56:43,2965,"1,5,6,7,8,9,10",Armavir,1,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4176,2966,10,270,1,1,2019-06-10 18:56:43,2966,"5,6,7,8,9,10",Armavir,10,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4177,2967,2,270,1,1,2019-06-10 18:56:43,2967,"6,7,8,9,10",Armavir,2,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4178,2968,10,270,1,1,2019-06-10 18:56:43,2968,"5,6,7,8,9,10",Armavir,10,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4179,2969,3,270,1,1,2019-06-10 18:56:43,2969,"5,6,7,8,9,10",Armavir,3,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4180,2970,7,270,1,1,2019-06-10 18:56:43,2970,"5,6,7,8,9,10",Armavir,7,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4181,2971,1,270,1,1,2019-06-10 18:56:43,2971,"5,6,7,8,9,10",Armavir,1,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4182,2972,1,270,1,1,2019-06-10 18:56:43,2972,"5,6,7,8,9,10",Armavir,1,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4183,2973,1,270,1,1,2019-06-10 18:56:43,2973,"6,7,8,9,10",Armavir,1,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4184,2974,10,270,1,1,2019-06-10 18:56:43,2974,"6,7,8,9,10",Armavir,10,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4185,2975,5,270,1,1,2019-06-10 18:56:43,2975,"6,7,8,9,10",Armavir,5,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4186,2976,10,270,1,1,2019-06-10 18:56:43,2976,"7,8,9,10",Armavir,10,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4187,2977,8,270,1,1,2019-06-10 18:56:43,2977,"7,8,9,10",Armavir,8,attitudes
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4188,2978,2,270,1,1,2019-06-10 18:56:43,2978,2,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4189,2979,1,270,1,1,2019-06-10 18:56:43,2979,1,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4190,2980,1,270,1,1,2019-06-10 18:56:43,2980,1,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4191,2981,1,270,1,1,2019-06-10 18:56:43,2981,1,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4192,2982,2,270,1,1,2019-06-10 18:56:43,2982,2,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4193,2983,1,270,1,1,2019-06-10 18:56:43,2983,1,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4194,2984,2,270,1,1,2019-06-10 18:56:43,2984,2,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4195,2985,2,270,1,1,2019-06-10 18:56:43,2985,2,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4196,2986,1,270,1,1,2019-06-10 18:56:43,2986,2,Armavir,0,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4197,2987,2,270,1,1,2019-06-10 18:56:43,2987,2,Armavir,1,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4198,2988,1,270,1,1,2019-06-10 18:56:43,2988,2,Armavir,0,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4199,2989,1,270,1,1,2019-06-10 18:56:43,2989,2,Armavir,0,STIs
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4200,2990,1,270,1,1,2019-06-10 18:56:43,2990,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4201,2991,3,270,1,1,2019-06-10 18:56:43,2991,3,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4202,2992,3,270,1,1,2019-06-10 18:56:43,2992,3,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4203,2993,3,270,1,1,2019-06-10 18:56:43,2993,3,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4204,2994,1,270,1,1,2019-06-10 18:56:43,2994,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4205,2995,1,270,1,1,2019-06-10 18:56:43,2995,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4206,2996,2,270,1,1,2019-06-10 18:56:43,2996,2,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4207,2997,1,270,1,1,2019-06-10 18:56:43,2997,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4208,2998,2,270,1,1,2019-06-10 18:56:43,2998,2,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4209,2999,2,270,1,1,2019-06-10 18:56:43,2999,2,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4210,3000,2,270,1,1,2019-06-10 18:56:43,3000,1,Armavir,0,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4211,3001,1,270,1,1,2019-06-10 18:56:43,3001,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4212,3002,1,270,1,1,2019-06-10 18:56:43,3002,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4213,3003,1,270,1,1,2019-06-10 18:56:43,3003,1,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4214,3004,3,270,1,1,2019-06-10 18:56:43,3004,3,Armavir,1,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4215,3005,1,270,1,1,2019-06-10 18:56:43,3005,2,Armavir,0,HIV
104,9,0,11,10,238,507,9,2019-06-10 18:51:51,2019-06-10 18:51:51,4216,3006,2,270,1,1,2019-06-10 18:56:43,3006,1,Armavir,0,HIV
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4972,2964,5,123,1,1,2019-06-11 13:34:55,2964,"5,6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4973,2965,1,123,1,1,2019-06-11 13:34:55,2965,"1,5,6,7,8,9,10",Armavir,1,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4974,2966,5,123,1,1,2019-06-11 13:34:55,2966,"5,6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4975,2967,5,123,1,1,2019-06-11 13:34:55,2967,"6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4976,2968,6,123,1,1,2019-06-11 13:34:55,2968,"5,6,7,8,9,10",Armavir,6,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4977,2969,5,123,1,1,2019-06-11 13:34:55,2969,"5,6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4978,2970,5,123,1,1,2019-06-11 13:34:55,2970,"5,6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4979,2971,5,123,1,1,2019-06-11 13:34:55,2971,"5,6,7,8,9,10",Armavir,5,attitudes
132,9,0,11,11,126,579,9,2019-06-11 13:32:31,2019-06-11 13:32:31,4980,2972,5,123,1,1,2019-06-11 13:34:55,2972,"5,6,7,8,9,10",Armavir,5,attitudes
